ensembl_gene_id,entrezgene_id,external_gene_name,uniprot_gn_symbol
ENSG00000078618,4898,NRDC,NRDC
ENSG00000078808,51150,SDF4,SDF4
ENSG00000078900,7161,TP73,TP73
ENSG00000079277,8569,MKNK1,MKNK1
ENSG00000079335,8556,CDC14A,CDC14A
ENSG00000079739,5236,PGM1,PGM1
ENSG00000080910,3080,CFHR2,CFHR2
ENSG00000080947,114819,CROCCP3,NA
ENSG00000081019,54665,RSBN1,RSBN1
ENSG00000081026,260425,MAGI3,MAGI3
ENSG00000081237,5788,PTPRC,PTPRC
ENSG00000081248,779,CACNA1S,CACNA1S
ENSG00000081277,5317,PKP1,PKP1
ENSG00000081692,65094,JMJD4,JMJD4
ENSG00000081721,11266,DUSP12,DUSP12
ENSG00000081870,51668,IFT25,IFT25
ENSG00000081985,3595,IL12RB2,IL12RB2
ENSG00000082482,3776,KCNK2,KCNK2
ENSG00000082497,56256,SERTAD4,SERTAD4
ENSG00000082512,7188,TRAF5,TRAF5
ENSG00000083444,5351,PLOD1,PLOD1
ENSG00000084070,64744,SMAP2,SMAP2
ENSG00000084072,10450,PPIE,PPIE
ENSG00000084073,10269,ZMPSTE24,ZMPSTE24
ENSG00000084623,8668,EIF3I,EIF3I
ENSG00000084628,79570,NKAIN1,NKAIN1
ENSG00000084636,1307,COL16A1,COL16A1
ENSG00000084652,200081,TXLNA,TXLNA
ENSG00000085433,22911,WDR47,WDR47
ENSG00000085465,5016,OVGP1,OVGP1
ENSG00000085491,29957,SLC25A24,SLC25A24
ENSG00000085552,57549,IGSF9,IGSF9
ENSG00000085831,22996,TTC39A,TTC39A
ENSG00000085832,2060,EPS15,EPS15
ENSG00000085840,4998,ORC1,ORC1
ENSG00000085998,55624,POMGNT1,POMGNT1
ENSG00000085999,8438,RAD54L,RAD54L
ENSG00000086015,23139,MAST2,MAST2
ENSG00000088035,29929,ALG6,ALG6
ENSG00000088280,55616,ASAP3,ASAP3
ENSG00000090020,6548,SLC9A1,SLC9A1
ENSG00000090104,5996,RGS1,RGS1
ENSG00000090273,10726,NUDC,NUDC
ENSG00000090432,79594,MUL1,MUL1
ENSG00000090621,8761,PABPC4,PABPC4
ENSG00000090686,84196,USP48,USP48
ENSG00000092607,6913,TBX15,TBX15
ENSG00000092621,26227,PHGDH,PHGDH
ENSG00000092847,26523,AGO1,AGO1
